scenario,boost_scenario,boost_recovery_curve,k_years,dose2_interval_years,group,is_no_revaccination,n_draws,infections_per1000_py_alive_median,infections_per1000_py_alive_lo95,infections_per1000_py_alive_hi95,cases_per1000_py_alive_median,cases_per1000_py_alive_lo95,cases_per1000_py_alive_hi95,hospitalizations_per1000_py_alive_median,hospitalizations_per1000_py_alive_lo95,hospitalizations_per1000_py_alive_hi95,deaths_per1000_py_alive_median,deaths_per1000_py_alive_lo95,deaths_per1000_py_alive_hi95
older_adult_vax_main,scenario_b,scenario_b,4,4,vaccinated_primary,False,5,184.87349131209368,177.27371040180878,297.1719690108446,66.2184853102649,51.900914661038634,86.21853790972044,1.8161870407213496,1.504845384971769,1.9187169491140235,0.0976548609889232,0.0802577643952525,0.10277637670113395
older_adult_vax_main,scenario_b,scenario_b,4,4,vaccine_eligible,False,5,187.10495351842974,179.61385604213595,302.0026298220316,77.65887535407145,61.25430285544557,101.08193166721114,1.8639781317750834,1.6051743203882216,2.025127075473592,0.0980973905183209,0.08326816599586015,0.10590949134363865
older_adult_vax_main,scenario_b,scenario_b,5,5,age_60plus,False,5,199.75808661450668,191.2067406467726,322.05060373963533,84.67640881484826,67.01899566192061,110.08037600008504,1.4097948847743595,1.2301121639188535,1.5427575414372194,0.07340543765452523,0.06298659692203101,0.07973783273781324
older_adult_vax_main,scenario_b,scenario_b,5,5,all_ages,False,5,327.7937967366041,298.0921332034622,507.2673452704769,121.32614488624436,116.08686332153582,174.89500890120956,0.9486078721819619,0.8536541965755626,1.1320692285266343,0.02747760094469118,0.024530729474997952,0.03041577475893551
older_adult_vax_main,scenario_b,scenario_b,5,5,vaccinated_primary,False,5,184.90266644937805,177.27554658780622,297.2107503972294,66.24454387150075,52.02396211424645,86.23991520614217,1.815238931251537,1.508594166396457,1.9226054501498133,0.09758576366372129,0.08043900892671373,0.10296424757401018
older_adult_vax_main,scenario_b,scenario_b,5,5,vaccine_eligible,False,5,187.1173804139847,179.5836166077296,302.01888868617414,77.66169640572438,61.3015545635383,101.07627151920295,1.8631522748887634,1.6065419376041525,2.0265027130488202,0.09804609153200018,0.08333404333722952,0.10597545648930204
older_adult_vax_main,scenario_c,scenario_c,1,1,age_60plus,False,5,200.1340992906532,191.87700263683297,322.5540973386776,86.06089924406494,68.04024298470118,111.94443737660413,1.4520283617213443,1.2637186264556215,1.5849490040265926,0.07567737124023964,0.06478207122361733,0.08200131574797703
older_adult_vax_main,scenario_c,scenario_c,1,1,all_ages,False,5,328.0474266469944,298.565101307287,507.5717683468917,122.04520031451976,116.47637561245178,175.4221349640423,0.9599989524355209,0.868214684582624,1.1462160777003667,0.028134028956164216,0.025143152896466993,0.031173835629034193
older_adult_vax_main,scenario_c,scenario_c,1,1,vaccinated_primary,False,5,185.2949557151072,177.9678571406575,297.74050928905115,70.8041256262385,55.51288440207197,92.17992756554911,1.962067356838382,1.6288436702277338,2.0741997380680406,0.10550022426751174,0.08687223503051393,0.11110591422749225
older_adult_vax_main,scenario_c,scenario_c,1,1,vaccine_eligible,False,5,187.51407260292197,180.28533355270866,302.55699227761664,79.44048443259751,62.627668569546685,103.44958812772737,1.9210365402728444,1.652600180822686,2.0843858404824585,0.10116433501225609,0.08579808166140233,0.10908443212715611
older_adult_vax_main,scenario_c,scenario_c,2,2,age_60plus,False,5,199.9727904179283,191.61460318815864,322.3344901772466,85.50400567506003,67.6087688734594,111.19666223457014,1.4355611148969947,1.2496865128491565,1.5675516339318283,0.07479773383781115,0.06403927143877569,0.08107536168473806
